speaker_norm,in_government,date,speech_idx,Managerial,Exploratory,parlasent_sentiment_sent,survivor_similarity_sent
micheal martin,0,2019-11-20,0,0.366793771968803,0.596383669591016,2.8785689628937026,0.3415441
alice-mary higgins,1,2019-07-12,0,0.377399914874887,0.359799034151471,2.2709363200946857,0.39012942
anne rabbitte,0,2019-07-04,0,0.444378308905135,0.292782256762211,2.9291415214538574,0.21424964
maureen o'sullivan,1,2019-06-26,0,0.302297259173469,0.280303884727757,2.5222957407434783,0.40635687
maureen o'sullivan,1,2019-06-26,1,0.203153267138307,0.438037498928302,1.6206157290273242,0.33025426
lynn ruane,1,2019-06-19,0,0.20320854467996,0.485714986179212,1.9250327292829752,0.34046555
stephen donnelly,0,2019-06-19,0,0.174503152141216,0.546330526055789,1.1992573797831247,0.44651848
david p.b. norris,1,2019-06-12,0,0.241265387622042,0.198987754560953,2.361883848077721,0.39717734
ivana bacik,0,2019-06-12,0,0.307247294511921,0.324946630320161,2.7135379654355347,0.33844888
jim o'callaghan,0,2019-05-22,0,0.15954015090449,0.736364165097211,1.6783470883965492,0.42121282
katherine zappone,1,2019-05-15,0,0.592006082829515,0.0685379997937542,2.665879512385976,0.35957664
fiona o'loughlin,0,2019-05-15,0,0.422581667401741,0.193620274533385,2.5493602217598395,0.342314
catherine connolly,1,2019-05-15,0,0.100603609430277,0.745509706848901,1.6208501374132411,0.5555724
catherine connolly,1,2019-05-08,0,0.982309887198427,0.0099705476710132,2.144324541091919,0.22897159
katherine zappone,1,2019-05-08,0,0.432441787875815,0.287416437297003,2.584147674590349,0.21459949
katherine zappone,1,2019-05-08,1,0.104372143213691,0.26219277200632,1.56492764595896,0.44865823
ivana bacik,0,2019-04-18,0,0.309171452537581,0.395596143585728,2.644722794741392,0.25659198
ivana bacik,0,2019-04-17,0,0.525667599779418,0.247838815679406,1.5312791466712952,0.37854415
catherine connolly,1,2019-04-17,0,0.135790998251001,0.699731182769874,1.3574665664480283,0.42063072
katherine zappone,1,2019-03-28,0,0.211509084433415,0.521316321168318,3.1437452733516693,0.3567596
katherine zappone,1,2019-03-06,0,0.960166689853894,0.0184952591172897,4.021152433421877,0.21526575
katherine zappone,1,2019-03-06,1,0.256055070363364,0.298998598701031,2.2168073654174805,0.25142458
catherine connolly,1,2019-02-27,0,0.1181876222733,0.85890050759499,2.313857678572337,0.3129811
joan burton,0,2019-02-21,0,0.0832207103163835,0.547313868645746,1.778914050651448,0.51122606
maureen o'sullivan,1,2019-02-21,0,0.19989596348568,0.528034877544029,1.660981897637248,0.51551884
fiona o'loughlin,0,2019-02-21,0,0.391928327154879,0.31815406402329,2.303889215302964,0.43076414
katherine zappone,1,2019-02-13,0,0.663460762142386,0.0241984915839672,3.246286498175727,0.2659715
katherine zappone,1,2019-02-13,1,0.664330948510138,0.101867311368287,2.8110125823454424,0.25388974
katherine zappone,1,2019-02-07,0,0.486157984534739,0.0626371463405384,2.944878120237673,0.24417388
anne rabbitte,0,2019-02-07,0,0.339757427808031,0.466961780465897,1.9864796157663975,0.4917946
catherine connolly,1,2019-02-07,0,0.0922871269133136,0.521130325895626,1.445922441997154,0.51722145
katherine zappone,1,2019-02-06,0,0.537325391355338,0.0410356497942996,3.0167670312315917,0.23076114
alice-mary higgins,1,2019-02-06,0,0.346189101451639,0.461808501175097,1.6196626812378143,0.41989103
ronan mullen,1,2019-02-06,0,0.299786426294424,0.569015766722051,1.337042431898263,0.5034628
katherine zappone,1,2019-02-06,1,0.2797933828093,0.215108357396481,2.8005162979875293,0.34459254
katherine zappone,1,2019-02-06,2,0.335858968493968,0.272031934572249,3.046285016196115,0.21328203
mattie mcgrath,1,2019-02-05,0,0.976726338433514,0.0077324507528476,2.1482099975858415,0.23677558
victor boyhan,1,2019-01-22,0,0.443356039318055,0.421776942455229,2.2788968172210913,0.49169827
katherine zappone,1,2019-01-22,0,0.215436500193318,0.273095462849193,2.484383001923561,0.36190733
catherine connolly,1,2019-01-17,0,0.142382946086448,0.293493688079143,1.7907428171704798,0.3838645
katherine zappone,1,2019-01-17,0,0.519720829616916,0.0407853254653426,2.7397847484265054,0.2102122
sean o fearghail,0,2019-01-16,0,0.945691153619266,0.0197076719332535,2.358293890953064,0.17741725
catherine connolly,1,2019-01-16,0,0.0343472619932335,0.796711344295729,1.291082678845635,0.38662875
maureen o'sullivan,0,2012-09-25,0,0.158223396705094,0.716540034237036,1.476437023500117,0.6095588
robert troy,0,2015-05-28,0,0.298749684214731,0.668868725241359,2.280154254647994,0.29103076
maureen o'sullivan,0,2015-05-14,0,0.0799625968428298,0.886569095553177,0.9521726662149796,0.383413
maureen o'sullivan,0,2015-04-30,0,0.311680955567206,0.677052850207968,1.7677390199929182,0.29657322
ivana bacik,1,2015-04-15,0,0.433329952469792,0.539057604676117,2.957480521032623,0.28810942
